corpus,subtype,filename,raw_chars,cleaned_chars,chars_removed,pct_removed,raw_lines,cleaned_lines,step_fix_encoding_artifacts_chars,step_remove_speech_header_chars,step_remove_speech_footnotes_chars,step_remove_figure_references_chars,step_remove_orphaned_footnote_numbers_chars,step_normalize_whitespace_chars,step_remove_fomc_statement_header_chars,step_remove_fomc_voting_records_chars,step_remove_fomc_attendee_list_chars,step_remove_fomc_duplicate_statement_in_minutes_chars,step_remove_fomc_policy_directive_chars
fed_speeches,speech,2024-01-17_499bd84f491a.txt,6383,5314,1069,16.748,29,15,0,161.0,908.0,0.0,0.0,0,,,,,
fed_speeches,speech,2024-01-17_66de58a3415c.txt,21941,18277,3664,16.699,79,51,-13,175.0,3502.0,0.0,0.0,0,,,,,
fed_speeches,speech,2024-02-02_a9dfe550f5b8.txt,23271,21709,1562,6.712,75,59,-40,145.0,1457.0,0.0,0.0,0,,,,,
fed_speeches,speech,2024-02-07_1622d6e3b253.txt,18668,16507,2161,11.576,71,47,-16,95.0,2082.0,0.0,0.0,0,,,,,
fed_speeches,speech,2024-02-07_5568df53ebf7.txt,12870,9922,2948,22.906,81,47,-3,146.0,2805.0,0.0,0.0,0,,,,,
fed_speeches,speech,2024-02-12_01325238e866.txt,23295,20057,3238,13.9,85,53,-23,143.0,3118.0,0.0,0.0,0,,,,,
fed_speeches,speech,2024-02-14_face89182998.txt,17038,14422,2616,15.354,77,53,-2,179.0,2439.0,0.0,0.0,0,,,,,
fed_speeches,speech,2024-02-15_2cc997dee98d.txt,21039,17151,3888,18.48,87,53,-3,125.0,3766.0,0.0,0.0,0,,,,,
fed_speeches,speech,2024-02-15_9a2e6aa4b527.txt,19027,17812,1215,6.386,105,71,-10,208.0,1017.0,0.0,0.0,0,,,,,
fed_speeches,speech,2024-02-16_a2ccedee8db4.txt,21293,18631,2662,12.502,87,61,-4,137.0,2529.0,0.0,0.0,0,,,,,
fed_speeches,speech,2024-02-22_4d29f140fc80.txt,17679,15841,1838,10.397,71,55,-13,124.0,1727.0,0.0,0.0,0,,,,,
fed_speeches,speech,2024-02-22_993866450d42.txt,20672,17808,2864,13.854,89,65,-1,276.0,2589.0,0.0,0.0,0,,,,,
