date,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
2015-11-06,-0.470191362542412,-0.470045156855438,-0.575148269227731,0.0504682552640303,-0.0144805545908078,-0.709281032967794
2015-11-13,-0.466718125648393,-0.471460216768568,-0.575748005370436,0.0600258874058214,-0.0452136801910601,-0.704466513087415
2015-11-20,-0.457429027701537,-0.463392810865589,-0.569745260946565,0.0729575858212961,-0.0723638268321199,-0.699722384819666
2015-11-27,-0.443613306585839,-0.446204716327603,-0.558515512874319,0.0890326610782942,-0.0940829544219355,-0.695055609839612
2015-12-04,-0.425097905516355,-0.41983946403057,-0.543218982497167,0.107820455925082,-0.107635036345826,-0.690474501641494
2015-12-11,-0.403035650326733,-0.387751777102598,-0.525320601138342,0.128633796234768,-0.112056051447676,-0.685989064118678
2015-12-18,-0.381490644833392,-0.358275170138128,-0.508814403483292,0.150431332909373,-0.107252140430469,-0.681611560934558
2015-12-25,-0.361408073324337,-0.334826942665267,-0.494470658017649,0.172008163089129,-0.0937071212339224,-0.677356681348642
2016-01-01,-0.343753233543236,-0.319976347959255,-0.48326401964457,0.192455869593175,-0.0726703453086281,-0.673240978432466
2016-01-08,-0.328221974316784,-0.310551535002935,-0.474497265742535,0.21054629690243,-0.0456337896673452,-0.669282131467745
2016-01-15,-0.314677603368164,-0.301521627629475,-0.468670540243012,0.226497057012836,-0.0151878691349477,-0.665500852220518
2016-01-22,-0.304518697588299,-0.291336286062233,-0.46593407051294,0.23899323580407,0.0163232083869967,-0.661913764778061
2016-01-29,-0.29790170655664,-0.278944950330042,-0.465677149006941,0.247119247613968,0.0469386338046886,-0.658536653039424
2016-02-05,-0.294292327210895,-0.264453365215152,-0.467192821976354,0.250712020319545,0.0747659157222251,-0.65538212550068
2016-02-12,-0.294444861185462,-0.253925053792852,-0.470258285251033,0.249000140500555,0.0986207331916748,-0.652458416632656
2016-02-19,-0.302956074848186,-0.255857348805175,-0.477335715627998,0.240829934202341,0.117317869044822,-0.649769099621114
2016-02-26,-0.31574808690677,-0.266564145109899,-0.48570194666305,0.22772471128458,0.130523141191683,-0.647312938773366
2016-03-04,-0.331287765413839,-0.281169231941537,-0.494606810435745,0.211218020762631,0.13784670013103,-0.645083472512085
2016-03-11,-0.346772105927611,-0.295476364723331,-0.503470561377328,0.1941008869964,0.139322429947239,-0.643069467823614
2016-03-18,-0.360743171298226,-0.302840281186664,-0.511573126212738,0.178289262591359,0.134681665796016,-0.64125505003848
2016-03-25,-0.370228567292755,-0.299833238341249,-0.517042132164639,0.165396161901083,0.124724779080865,-0.639620136460462
2016-04-01,-0.377037683516432,-0.290395412735633,-0.520855571665622,0.155707752525187,0.109899349395708,-0.638141707566708
2016-04-08,-0.380680000964499,-0.276803573372267,-0.522551602433581,0.149727491869025,0.0913013285615734,-0.636796836011964
2016-04-15,-0.383401012929117,-0.267025187904619,-0.523589864555004,0.14694841811316,0.0703322478289233,-0.635558606033287
2016-04-22,-0.385144857647747,-0.261910323670055,-0.524239531803829,0.14698855781764,0.049608443697681,-0.63440585649383
2016-04-29,-0.385048874888556,-0.259538841866603,-0.524061522417208,0.149737628157221,0.0311250506073053,-0.63332001841879
2016-05-06,-0.38348714927055,-0.25828137904838,-0.523209994826878,0.154396262371277,0.0168325336050147,-0.632286749931896
2016-05-13,-0.381555675216015,-0.25803237050512,-0.522502281996405,0.160022258465692,0.0084707572105608,-0.631296470358013
2016-05-20,-0.378469702385285,-0.255054657312792,-0.520832094079314,0.165807782094099,0.0068278129670256,-0.630344020525682
2016-05-27,-0.373872881358599,-0.249233573650201,-0.518058870819265,0.171278982646916,0.0122466849016516,-0.629427901208078
