Date,btc_close,btc_r0,btc_r1,btc_r2,btc_r3,btc_r5,btc_r7,btc_r9,spx_close,spx_r0,spx_r1,spx_r2,spx_r3,spx_r5,spx_r7,spx_r9,zt_close,zt_r0,zt_r1,zt_r2,zt_r3,zt_r5,zt_r7,zt_r9,NFCI,mps,MPS_ORTH,MP_median,CBI_median,s_Overall,s_Households,s_Firms,s_Financial_Sector,s_Government,s_Central_Bank
2019-10-30,9159.94,-0.029,-0.03,-0.019,-0.013,-0.002,-0.009,-0.073,3046.77,0.002,-0.001,0.009,0.009,0.013,0.012,0.017,107.621,0.0,0.002,0.001,0.001,0.001,0.0,-0.001,-0.55,0.024,0.032,-0.002,0.016,-0.111,0.364,0.02,-0.433,-0.143,-0.165
2019-12-11,7207.42,-0.002,-0.005,0.005,-0.023,-0.049,0.009,-0.004,3141.63,0.002,0.01,0.01,0.01,0.018,0.018,0.027,107.555,0.001,-0.0,0.001,0.001,0.0,0.001,0.001,-0.562,0.005,0.008,-0.012,0.008,-0.252,-0.067,-0.15,-0.481,-0.053,-0.319
2020-01-29,9289.18,-0.01,0.012,-0.006,-0.001,-0.011,0.024,0.043,3273.4,-0.005,-0.002,-0.02,-0.02,-0.012,0.014,0.012,108.02,0.001,0.001,0.002,0.002,0.002,0.0,0.001,-0.623,0.014,0.025,0.003,0.006,-0.1,0.244,-0.019,-0.417,0.111,-0.018
2020-03-03,8755.45,-0.018,-0.019,0.017,0.026,-0.104,-0.123,-0.611,3003.37,-0.031,0.011,-0.024,-0.041,-0.041,-0.072,-0.222,109.234,0.003,0.004,0.005,0.007,0.007,0.007,0.008,-0.297,-0.143,,-0.121,-0.044,0.011,-0.091,0.167,-0.294,-0.5,0.231
2020-03-15,5343.64,0.034,-0.026,0.03,0.045,0.184,0.118,0.27,2711.02,0.078,-0.05,0.008,-0.045,-0.085,-0.085,-0.025,109.738,-0.003,-0.001,-0.004,-0.004,-0.001,-0.001,-0.001,0.032,-0.213,,,,-0.071,0.2,-0.172,0.152,-0.412,-0.351
2020-04-29,8790.32,0.124,0.106,0.129,0.146,0.135,0.165,0.233,2939.51,0.007,-0.002,-0.031,-0.031,-0.026,-0.024,0.004,110.203,0.0,0.0,-0.0,-0.0,0.0,0.0,0.001,0.161,0.003,,0.004,-0.018,-0.075,-0.111,-0.045,-0.116,-0.4,0.091
2020-06-10,9894.32,0.011,-0.054,-0.033,-0.032,-0.036,-0.033,-0.05,3190.14,-0.007,-0.068,-0.055,-0.055,-0.047,-0.032,-0.037,110.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.316,0.005,,-0.036,0.034,-0.036,-0.274,0.24,0.25,-0.455,-0.061
2020-07-29,11111.17,0.016,0.016,0.038,0.078,0.027,0.073,0.059,3258.44,0.01,0.006,0.014,0.014,0.021,0.031,0.038,110.453,0.0,0.0,0.001,0.001,0.0,0.0,0.0,-0.459,0.002,,-0.006,0.002,-0.131,-0.333,0.16,-0.047,-0.368,-0.081
2020-09-16,10951.54,0.015,0.014,0.013,0.027,-0.035,-0.052,-0.009,3385.49,-0.008,-0.016,-0.027,-0.027,-0.039,-0.052,-0.034,110.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.502,0.008,,-0.024,0.024,-0.046,-0.029,0.102,0.032,-0.241,-0.128
2020-11-05,15605.04,0.097,0.096,0.046,0.089,0.078,0.14,0.127,3510.45,0.007,0.007,0.007,0.007,0.017,0.015,0.028,110.418,-0.0,-0.0,-0.0,-0.0,-0.001,-0.001,-0.001,-0.507,0.006,,-0.003,0.001,-0.055,-0.283,0.037,0.15,-0.217,-0.081
